-2 18 1 2 0 0 0 1
-1 6 1 1 0 2 0 1
-3 10 2 0 0 1 0 1
-1 10 1 1 0 1 1 1
4 8 1 1 0 0 2 1
-1 10 2 0 0 1 0 1
2 8 1 0 0 1 1 1
2 16 2 0 0 0 0 1
2 17 2 0 1 0 0 1
2 9 2 0 1 1 0 1
1 25 1 2 0 0 0 1
-1 2 1 2 0 0 0 1
2 12 1 1 0 0 0 1
-3 15 1 1 0 1 1 1
2 12 1 2 0 1 1 1
2 11 1 2 0 1 1 1
2 8 1 2 0 1 0 1
1 19 2 0 1 1 0 1
4 2 1 1 0 1 0 1
-2 5 1 1 0 2 1 1
4 14 1 1 0 2 0 1
-2 19 1 1 0 1 1 1
-4 5 1 0 0 0 1 1
-3 20 1 1 0 0 1 1
5 18 1 2 0 0 1 1
2 17 1 2 0 0 0 1
-2 13 1 2 0 0 0 1
-2 5 1 2 0 0 2 1
-5 6 2 0 0 2 0 1
-5 11 2 0 1 1 1 1
-2 11 1 1 0 0 0 1
-1 9 1 2 0 0 0 1
-1 5 1 0 0 0 1 1
-2 17 1 2 0 1 0 1
-5 4 1 1 0 1 1 1
-3 10 1 2 0 0 1 1
-2 20 1 2 0 1 1 1
2 20 1 2 0 0 1 1
1 24 1 2 0 0 0 1
-3 20 1 1 0 1 0 1
-1 6 1 1 0 1 0 1
2 15 1 1 0 0 1 1
-2 12 1 1 0 1 1 1
2 10 1 0 0 0 0 1
1 16 1 2 0 1 0 1
-1 4 2 0 0 1 0 1
2 14 2 0 0 2 1 1
-2 4 2 0 1 0 0 1
-3 18 1 2 0 1 0 1
-3 20 1 1 0 2 2 1
-1 14 1 2 0 1 0 1
2 12 1 1 0 0 1 1
2 7 1 2 0 0 1 1
-3 16 1 2 0 1 0 1
-1 12 1 2 0 1 1 1
1 12 1 1 0 1 0 1
1 14 1 1 0 0 0 1
3 8 1 1 0 0 0 1
4 6 2 0 0 1 0 1
-1 16 1 2 0 0 1 1
1 19 1 2 0 1 0 1
-5 20 1 2 0 2 0 1
-4 16 2 0 1 0 1 1
-1 17 2 0 0 1 0 1
4 18 1 1 0 0 0 1
-3 20 1 2 0 0 1 1
